mote_id,monitored_time,on_time,tx_time,rx_time,int_time
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.0,0.0,0.0
1,2.0,0.0,0.0,0.0,0.0
2,2.0,0.0,0.0,0.0,0.0
3,2.0,0.0,0.0,0.0,0.0
4,2.0,0.0,0.0,0.0,0.0
5,2.0,0.0,0.0,0.0,0.0
6,2.0,0.0,0.0,0.0,0.0
7,2.0,0.0,0.0,0.0,0.0
8,2.0,0.0,0.0,0.0,0.0
9,2.0,0.0,0.0,0.0,0.0
10,2.0,0.0,0.0,0.0,0.0
11,2.0,0.0,0.0,0.0,0.0
0,4.0,0.0,0.0,0.0,0.0
1,4.0,0.0,0.0,0.0,0.0
2,4.0,0.0,0.0,0.0,0.0
3,4.0,0.0,0.0,0.0,0.0
4,4.0,0.0,0.0,0.0,0.0
5,4.0,0.0,0.0,0.0,0.0
6,4.0,0.0,0.0,0.0,0.0
7,4.0,0.0,0.0,0.0,0.0
8,4.0,0.0,0.0,0.0,0.0
9,4.0,0.0,0.0,0.0,0.0
10,4.0,0.0,0.0,0.0,0.0
11,4.0,0.0,0.0,0.0,0.0
0,5.0,0.0,0.0,0.0,0.0
1,5.0,0.0,0.0,0.0,0.0
2,5.0,0.0,0.0,0.0,0.0
3,5.0,0.0,0.0,0.0,0.0
4,5.0,0.0,0.0,0.0,0.0
